Caminho : 1 
Caminho : 1 2 
Caminho : 1 5 10 2 9 
Caminho : 1 5 10 4 9 
Caminho : 1 5 10 9 4 
Caminho : 1 6 8 10 4 
Caminho : 1 6 8 2 5 
Caminho : 1 6 8 2 7 
Caminho : 1 6 8 2 9 
Caminho : 1 6 8 2 4 
Caminho : 1 6 8 2 3 
Caminho : 1 6 8 2 10 
Caminho : 1 6 8 5 9 
Caminho : 1 6 8 5 2 
Caminho : 1 6 8 5 4 
Caminho : 1 6 8 5 3 
Caminho : 1 6 8 5 10 
Caminho : 1 6 8 7 9 
Caminho : 1 6 8 7 2 
Caminho : 1 6 8 7 4 
Caminho : 1 6 8 7 5 
Caminho : 1 6 8 7 10 
Caminho : 1 6 8 9 2 
Caminho : 1 6 8 9 4 
Caminho : 1 6 8 9 3 
Caminho : 1 6 8 9 10 
Caminho : 1 6 8 2 4 
Caminho : 1 6 8 2 10 
Caminho : 1 6 8 4 3 
Caminho : 1 6 8 4 5 
Caminho : 1 6 8 4 10 
Caminho : 1 6 10 8 4 
Caminho : 1 6 10 9 3 
Caminho : 1 6 10 9 8 
Caminho : 1 6 2 4 7 
Caminho : 1 6 2 4 9 
Caminho : 1 6 2 4 10 
Caminho : 1 6 2 4 3 
Caminho : 1 6 2 4 8 
Caminho : 1 6 2 5 8 
Caminho : 1 6 2 5 9 
Caminho : 1 6 2 5 4 
Caminho : 1 6 2 5 8 
Caminho : 1 6 2 5 10 
Caminho : 1 6 2 5 3 
Caminho : 1 6 2 5 4 
Caminho : 1 6 2 7 9 
Caminho : 1 6 2 7 3 
Caminho : 1 6 2 7 8 
Caminho : 1 6 2 7 10 
Caminho : 1 6 2 7 4 
Caminho : 1 6 2 7 5 
Caminho : 1 6 2 7 8 
Caminho : 1 6 2 8 3 
Caminho : 1 6 2 8 10 
Caminho : 1 6 2 8 4 
Caminho : 1 6 2 9 3 
Caminho : 1 6 2 9 4 
Caminho : 1 6 2 9 8 
Caminho : 1 6 2 9 10 
Caminho : 1 6 2 9 3 
Caminho : 1 6 2 9 7 
Caminho : 1 6 2 9 8 
Caminho : 1 6 2 3 10 
Caminho : 1 6 2 4 10 
Caminho : 1 6 2 4 5 
Caminho : 1 6 2 4 8 
Caminho : 1 6 2 8 10 
Caminho : 1 6 2 8 4 
Caminho : 1 6 2 10 4 
Caminho : 1 6 2 10 5 
Caminho : 1 6 2 10 7 
Caminho : 1 6 4 7 3 
Caminho : 1 6 4 7 10 
Caminho : 1 6 4 9 3 
Caminho : 1 6 4 9 10 
Caminho : 1 6 4 9 3 
Caminho : 1 6 4 9 7 
Caminho : 1 6 4 9 10 
Caminho : 1 6 4 3 8 
Caminho : 1 6 4 3 10 
Caminho : 1 6 4 8 10 
Caminho : 1 6 5 8 3 
Caminho : 1 6 5 8 10 
Caminho : 1 6 5 9 4 
Caminho : 1 6 5 9 10 
Caminho : 1 6 5 9 2 
Caminho : 1 6 5 9 3 
Caminho : 1 6 5 9 4 
Caminho : 1 6 5 9 8 
Caminho : 1 6 5 9 10 
Caminho : 1 6 5 3 10 
Caminho : 1 6 5 3 4 
Caminho : 1 6 5 4 10 
Caminho : 1 6 5 4 8 
Caminho : 1 6 5 10 4 
Caminho : 1 6 7 9 2 
Caminho : 1 6 7 9 4 
Caminho : 1 6 7 9 5 
Caminho : 1 6 7 9 10 
Caminho : 1 6 7 9 2 
Caminho : 1 6 7 9 3 
Caminho : 1 6 7 9 8 
Caminho : 1 6 7 9 10 
Caminho : 1 6 7 2 4 
Caminho : 1 6 7 2 5 
Caminho : 1 6 7 2 10 
Caminho : 1 6 7 4 5 
Caminho : 1 6 7 4 10 
Caminho : 1 6 7 4 3 
Caminho : 1 6 7 4 8 
Caminho : 1 6 7 4 10 
Caminho : 1 6 7 5 8 
Caminho : 1 6 7 5 10 
Caminho : 1 6 7 5 3 
Caminho : 1 6 7 5 4 
Caminho : 1 6 7 5 10 
Caminho : 1 6 7 8 10 
Caminho : 1 6 7 8 4 
Caminho : 1 6 7 10 2 
Caminho : 1 6 7 10 4 
Caminho : 1 6 7 10 5 
Caminho : 1 6 8 4 3 
Caminho : 1 6 8 4 10 
Caminho : 1 6 9 10 3 
Caminho : 1 6 9 10 8 
Caminho : 1 6 9 2 3 
Caminho : 1 6 9 2 4 
Caminho : 1 6 9 2 7 
Caminho : 1 6 9 2 8 
Caminho : 1 6 9 2 4 
Caminho : 1 6 9 2 8 
Caminho : 1 6 9 2 10 
Caminho : 1 6 9 3 7 
Caminho : 1 6 9 3 8 
Caminho : 1 6 9 3 10 
Caminho : 1 6 9 3 4 
Caminho : 1 6 9 3 5 
Caminho : 1 6 9 3 10 
Caminho : 1 6 9 4 10 
Caminho : 1 6 9 4 5 
Caminho : 1 6 9 7 8 
Caminho : 1 6 9 7 4 
Caminho : 1 6 9 7 5 
Caminho : 1 6 9 7 10 
Caminho : 1 6 9 8 10 
Caminho : 1 6 9 8 4 
Caminho : 1 6 9 8 10 
Caminho : 1 6 9 10 4 
Caminho : 1 6 9 10 5 
Caminho : 1 7 8 5 10 
Caminho : 1 7 8 5 2 
Caminho : 1 7 8 5 9 
Caminho : 1 7 8 5 10 
Caminho : 1 7 8 10 9 
Caminho : 1 7 8 10 2 
Caminho : 1 7 8 2 10 
Caminho : 1 7 8 9 10 
Caminho : 1 7 2 4 5 
Caminho : 1 7 2 4 9 
Caminho : 1 7 2 4 9 
Caminho : 1 7 2 4 10 
Caminho : 1 7 2 5 9 
Caminho : 1 7 2 5 9 
Caminho : 1 7 2 5 10 
Caminho : 1 7 2 9 10 
Caminho : 1 7 2 9 10 
Caminho : 1 7 2 10 5 
Caminho : 1 7 4 5 9 
Caminho : 1 7 4 5 10 
Caminho : 1 7 4 5 2 
Caminho : 1 7 4 5 8 
Caminho : 1 7 4 5 9 
Caminho : 1 7 4 5 10 
Caminho : 1 7 4 9 10 
Caminho : 1 7 4 9 10 
Caminho : 1 7 4 9 2 
Caminho : 1 7 4 9 10 
Caminho : 1 7 4 10 8 
Caminho : 1 7 4 10 2 
Caminho : 1 7 4 10 5 
Caminho : 1 7 4 2 9 
Caminho : 1 7 4 2 10 
Caminho : 1 7 4 8 2 
Caminho : 1 7 4 9 10 
Caminho : 1 7 4 10 2 
Caminho : 1 7 4 10 5 
Caminho : 1 7 4 10 9 
Caminho : 1 7 5 8 10 
Caminho : 1 7 5 8 2 
Caminho : 1 7 5 8 4 
Caminho : 1 7 5 9 10 
Caminho : 1 7 5 9 4 
Caminho : 1 7 5 9 10 
Caminho : 1 7 5 9 2 
Caminho : 1 7 5 9 8 
Caminho : 1 7 5 9 10 
Caminho : 1 7 5 10 4 
Caminho : 1 7 5 10 2 
Caminho : 1 7 5 10 2 
Caminho : 1 7 8 10 4 
Caminho : 1 7 8 10 2 
Caminho : 1 7 9 10 8 
Caminho : 1 7 9 10 2 
Caminho : 1 7 9 10 5 
Caminho : 1 7 9 2 8 
Caminho : 1 7 9 2 10 
Caminho : 1 7 9 8 4 
Caminho : 1 7 9 10 5 
Caminho : 1 7 10 2 5 
Caminho : 1 7 10 2 8 
Caminho : 1 8 10 4 9 
Caminho : 1 8 10 9 5 
Caminho : 1 8 10 9 3 
Caminho : 1 8 2 4 7 
Caminho : 1 8 2 4 6 
Caminho : 1 8 2 4 9 
Caminho : 1 8 2 4 10 
Caminho : 1 8 2 4 3 
Caminho : 1 8 2 4 5 
Caminho : 1 8 2 4 7 
Caminho : 1 8 2 7 9 
Caminho : 1 8 2 7 10 
Caminho : 1 8 2 7 5 
Caminho : 1 8 2 3 10 
Caminho : 1 8 2 3 5 
Caminho : 1 8 2 5 9 
Caminho : 1 8 2 6 10 
Caminho : 1 8 2 6 5 
Caminho : 1 8 2 6 7 
Caminho : 1 8 2 7 9 
Caminho : 1 8 2 7 10 
Caminho : 1 8 2 7 5 
Caminho : 1 8 2 9 10 
Caminho : 1 8 2 9 3 
Caminho : 1 8 2 9 6 
Caminho : 1 8 2 9 7 
Caminho : 1 8 2 10 5 
Caminho : 1 8 2 10 7 
Caminho : 1 8 4 7 3 
Caminho : 1 8 4 7 5 
Caminho : 1 8 4 7 10 
Caminho : 1 8 4 9 3 
Caminho : 1 8 4 9 5 
Caminho : 1 8 4 9 7 
Caminho : 1 8 4 9 10 
Caminho : 1 8 4 9 2 
Caminho : 1 8 4 9 3 
Caminho : 1 8 4 9 7 
Caminho : 1 8 4 9 10 
Caminho : 1 8 4 2 5 
Caminho : 1 8 4 2 10 
Caminho : 1 8 4 3 5 
Caminho : 1 8 4 3 7 
Caminho : 1 8 4 3 10 
Caminho : 1 8 4 3 2 
Caminho : 1 8 4 3 5 
Caminho : 1 8 4 3 9 
Caminho : 1 8 4 5 2 
Caminho : 1 8 4 5 10 
Caminho : 1 8 4 7 10 
Caminho : 1 8 4 7 5 
Caminho : 1 8 4 7 9 
Caminho : 1 8 4 7 10 
Caminho : 1 8 4 10 2 
Caminho : 1 8 4 10 5 
Caminho : 1 8 7 9 5 
Caminho : 1 8 7 9 10 
Caminho : 1 8 7 9 2 
Caminho : 1 8 7 9 10 
Caminho : 1 8 7 5 10 
Caminho : 1 8 7 5 2 
Caminho : 1 8 7 5 3 
Caminho : 1 8 7 5 10 
Caminho : 1 8 7 10 2 
Caminho : 1 8 7 10 5 
Caminho : 1 8 9 2 3 
Caminho : 1 8 9 2 7 
Caminho : 1 8 9 2 5 
Caminho : 1 8 9 2 7 
Caminho : 1 8 9 2 10 
Caminho : 1 8 9 3 7 
Caminho : 1 8 9 3 10 
Caminho : 1 8 9 3 5 
Caminho : 1 8 9 7 10 
Caminho : 1 8 9 7 4 
Caminho : 1 8 9 7 5 
Caminho : 1 8 9 7 10 
Caminho : 1 8 9 10 5 
Caminho : 1 9 10 3 8 
Caminho : 1 9 10 8 5 
Caminho : 1 9 3 7 8 
Caminho : 1 9 3 7 5 
Caminho : 1 9 3 7 10 
Caminho : 1 9 3 8 5 
Caminho : 1 9 3 8 10 
Caminho : 1 9 3 5 10 
Caminho : 1 9 7 8 5 
Caminho : 1 9 7 8 10 
Caminho : 1 9 7 5 10 
Caminho : 1 2 3 7 4 5 
Caminho : 1 2 3 8 10 5 
Caminho : 1 2 3 8 10 5 
Caminho : 1 2 3 8 10 7 
Caminho : 1 2 3 8 5 7 
Caminho : 1 2 3 8 7 5 
Caminho : 1 2 3 6 10 8 
Caminho : 1 2 3 6 10 7 
Caminho : 1 2 3 6 7 8 
Caminho : 1 2 3 8 10 5 
Caminho : 1 2 3 8 10 7 
Caminho : 1 2 3 8 5 7 
Caminho : 1 2 3 8 7 5 
Caminho : 1 2 3 10 4 5 
Caminho : 1 2 3 10 4 5 
Caminho : 1 2 3 10 4 7 
Caminho : 1 2 3 10 4 5 
Caminho : 1 2 3 10 4 8 
Caminho : 1 2 3 10 9 8 
Caminho : 1 2 3 10 5 7 
Caminho : 1 2 3 10 7 5 
Caminho : 1 2 3 10 7 8 
Caminho : 1 2 3 4 5 8 
Caminho : 1 2 3 4 5 7 
Caminho : 1 2 3 4 7 5 
Caminho : 1 2 3 4 5 8 
Caminho : 1 2 3 4 5 7 
Caminho : 1 2 3 4 7 8 
Caminho : 1 2 3 4 7 5 
Caminho : 1 2 3 4 8 7 
Caminho : 1 2 3 5 9 8 
Caminho : 1 2 3 5 7 8 
Caminho : 1 2 3 9 7 8 
Caminho : 1 2 3 9 7 5 
Caminho : 1 2 4 6 10 3 
Caminho : 1 2 4 6 10 8 
Caminho : 1 2 4 6 10 9 
Caminho : 1 2 4 6 10 7 
Caminho : 1 2 4 6 3 8 
Caminho : 1 2 4 6 3 7 
Caminho : 1 2 4 6 9 7 
Caminho : 1 2 4 9 7 10 
Caminho : 1 2 4 10 3 8 
Caminho : 1 2 4 10 3 7 
Caminho : 1 2 4 10 7 9 
Caminho : 1 2 4 3 7 5 
Caminho : 1 2 4 3 8 5 
Caminho : 1 2 4 3 8 7 
Caminho : 1 2 4 3 5 7 
Caminho : 1 2 4 8 7 5 
Caminho : 1 2 7 4 5 8 
Caminho : 1 2 7 5 8 4 
Caminho : 1 2 8 9 10 3 
Caminho : 1 2 8 9 10 5 
Caminho : 1 2 8 9 3 7 
Caminho : 1 2 8 9 7 5 
Caminho : 1 2 8 10 4 5 
Caminho : 1 2 8 10 4 3 
Caminho : 1 2 8 10 4 5 
Caminho : 1 2 8 10 5 3 
Caminho : 1 2 8 10 7 5 
Caminho : 1 2 8 4 7 3 
Caminho : 1 2 8 4 7 5 
Caminho : 1 2 8 4 3 5 
Caminho : 1 2 8 4 3 7 
Caminho : 1 2 8 4 3 5 
Caminho : 1 2 8 4 7 5 
Caminho : 1 2 8 7 5 3 
Caminho : 1 2 3 6 10 8 
Caminho : 1 2 3 6 10 7 
Caminho : 1 2 3 6 7 8 
Caminho : 1 2 3 10 4 7 
Caminho : 1 2 3 10 4 8 
Caminho : 1 2 3 10 7 8 
Caminho : 1 2 3 4 5 8 
Caminho : 1 2 3 4 5 7 
Caminho : 1 2 3 4 8 7 
Caminho : 1 2 3 5 7 8 
Caminho : 1 2 4 9 10 5 
Caminho : 1 2 4 7 8 5 
Caminho : 1 2 4 8 7 5 
Caminho : 1 2 5 9 3 8 
Caminho : 1 2 6 10 4 9 
Caminho : 1 2 6 10 4 7 
Caminho : 1 2 6 10 4 3 
Caminho : 1 2 6 10 4 8 
Caminho : 1 2 6 10 5 8 
Caminho : 1 2 6 10 5 9 
Caminho : 1 2 6 10 5 3 
Caminho : 1 2 6 10 5 4 
Caminho : 1 2 6 10 8 5 
Caminho : 1 2 6 10 8 4 
Caminho : 1 2 6 10 9 5 
Caminho : 1 2 6 10 9 3 
Caminho : 1 2 6 10 9 8 
Caminho : 1 2 6 10 5 3 
Caminho : 1 2 6 10 5 4 
Caminho : 1 2 6 10 7 5 
Caminho : 1 2 6 10 7 8 
Caminho : 1 2 6 4 7 3 
Caminho : 1 2 6 4 9 7 
Caminho : 1 2 6 4 3 8 
Caminho : 1 2 6 5 8 3 
Caminho : 1 2 6 5 9 4 
Caminho : 1 2 6 5 9 8 
Caminho : 1 2 6 5 3 4 
Caminho : 1 2 6 5 4 8 
Caminho : 1 2 6 7 5 8 
Caminho : 1 2 6 7 5 3 
Caminho : 1 2 6 7 5 4 
Caminho : 1 2 6 7 8 4 
Caminho : 1 2 6 8 4 3 
Caminho : 1 2 6 9 3 7 
Caminho : 1 2 6 9 3 8 
Caminho : 1 2 6 9 3 4 
Caminho : 1 2 6 9 3 5 
Caminho : 1 2 6 9 7 8 
Caminho : 1 2 6 9 7 5 
Caminho : 1 2 6 9 7 10 
Caminho : 1 2 6 9 8 4 
Caminho : 1 2 7 4 5 3 
Caminho : 1 2 8 9 10 4 
Caminho : 1 2 8 9 10 5 
Caminho : 1 2 8 9 4 5 
Caminho : 1 2 8 10 4 5 
Caminho : 1 2 8 10 4 7 
Caminho : 1 2 8 10 4 3 
Caminho : 1 2 8 10 5 3 
Caminho : 1 2 8 10 7 5 
Caminho : 1 2 8 4 7 3 
Caminho : 1 2 8 4 7 5 
Caminho : 1 2 8 4 3 5 
Caminho : 1 2 8 4 3 7 
Caminho : 1 2 8 4 3 5 
Caminho : 1 2 8 4 7 5 
Caminho : 1 2 8 7 5 3 
Caminho : 1 2 9 10 3 7 
Caminho : 1 2 9 10 3 8 
Caminho : 1 2 9 10 3 5 
Caminho : 1 2 9 10 3 4 
Caminho : 1 2 9 10 3 5 
Caminho : 1 2 9 10 4 5 
Caminho : 1 2 9 10 7 8 
Caminho : 1 2 9 10 7 5 
Caminho : 1 2 9 10 7 4 
Caminho : 1 2 9 10 7 5 
Caminho : 1 2 9 10 8 5 
Caminho : 1 2 9 10 8 4 
Caminho : 1 2 9 10 4 5 
Caminho : 1 2 9 10 5 4 
Caminho : 1 2 9 3 7 8 
Caminho : 1 2 9 3 7 4 
Caminho : 1 2 9 3 7 4 
Caminho : 1 2 9 3 7 5 
Caminho : 1 2 9 3 7 10 
Caminho : 1 2 9 3 8 4 
Caminho : 1 2 9 3 8 5 
Caminho : 1 2 9 3 4 5 
Caminho : 1 2 9 3 4 5 
Caminho : 1 2 9 3 4 8 
Caminho : 1 2 9 7 8 4 
Caminho : 1 2 9 7 8 5 
Caminho : 1 2 9 7 8 10 
Caminho : 1 2 9 7 8 4 
Caminho : 1 2 9 7 4 5 
Caminho : 1 2 9 7 4 10 
Caminho : 1 2 9 7 4 8 
Caminho : 1 2 9 7 5 10 
Caminho : 1 2 9 7 5 4 
Caminho : 1 2 9 7 10 4 
Caminho : 1 2 9 8 4 3 
Caminho : 1 2 9 8 4 5 
Caminho : 1 2 10 4 5 8 
Caminho : 1 2 10 4 7 5 
Caminho : 1 2 10 5 7 3 
Caminho : 1 2 10 5 7 4 
Caminho : 1 2 10 5 7 8 
Caminho : 1 2 10 5 3 4 
Caminho : 1 2 10 5 4 8 
Caminho : 1 2 10 7 4 5 
Caminho : 1 2 10 7 4 9 
Caminho : 1 2 10 7 4 3 
Caminho : 1 2 10 7 4 8 
Caminho : 1 2 10 7 5 8 
Caminho : 1 2 10 7 5 9 
Caminho : 1 2 10 7 5 3 
Caminho : 1 2 10 7 5 4 
Caminho : 1 2 10 7 8 4 
Caminho : 1 2 10 7 9 3 
Caminho : 1 2 10 7 9 8 
Caminho : 1 3 5 8 10 9 
Caminho : 1 3 6 8 10 4 
Caminho : 1 3 6 8 5 2 
Caminho : 1 3 6 8 5 4 
Caminho : 1 3 6 8 5 10 
Caminho : 1 3 6 8 2 5 
Caminho : 1 3 6 8 2 7 
Caminho : 1 3 6 8 2 9 
Caminho : 1 3 6 8 2 4 
Caminho : 1 3 6 8 2 10 
Caminho : 1 3 6 8 5 9 
Caminho : 1 3 6 8 5 2 
Caminho : 1 3 6 8 5 4 
Caminho : 1 3 6 8 5 10 
Caminho : 1 3 6 8 7 9 
Caminho : 1 3 6 8 7 2 
Caminho : 1 3 6 8 7 4 
Caminho : 1 3 6 8 7 5 
Caminho : 1 3 6 8 7 10 
Caminho : 1 3 6 8 9 2 
Caminho : 1 3 6 8 9 4 
Caminho : 1 3 6 8 9 10 
Caminho : 1 3 6 8 2 4 
Caminho : 1 3 6 8 2 10 
Caminho : 1 3 6 8 4 5 
Caminho : 1 3 6 8 4 10 
Caminho : 1 3 6 10 4 8 
Caminho : 1 3 6 4 5 2 
Caminho : 1 3 6 4 5 9 
Caminho : 1 3 6 4 5 8 
Caminho : 1 3 6 4 5 10 
Caminho : 1 3 6 4 2 5 
Caminho : 1 3 6 4 2 7 
Caminho : 1 3 6 4 2 9 
Caminho : 1 3 6 4 2 5 
Caminho : 1 3 6 4 2 8 
Caminho : 1 3 6 4 2 10 
Caminho : 1 3 6 4 5 9 
Caminho : 1 3 6 4 5 8 
Caminho : 1 3 6 4 5 10 
Caminho : 1 3 6 4 7 9 
Caminho : 1 3 6 4 7 8 
Caminho : 1 3 6 4 7 5 
Caminho : 1 3 6 4 7 10 
Caminho : 1 3 6 4 9 5 
Caminho : 1 3 6 4 9 10 
Caminho : 1 3 6 4 9 2 
Caminho : 1 3 6 4 9 10 
Caminho : 1 3 6 4 5 8 
Caminho : 1 3 6 4 5 10 
Caminho : 1 3 6 4 8 10 
Caminho : 1 3 6 4 8 2 
Caminho : 1 3 6 4 10 5 
Caminho : 1 3 6 5 2 8 
Caminho : 1 3 6 5 2 9 
Caminho : 1 3 6 5 2 8 
Caminho : 1 3 6 5 2 10 
Caminho : 1 3 6 5 8 10 
Caminho : 1 3 6 5 9 10 
Caminho : 1 3 6 5 9 8 
Caminho : 1 3 6 2 4 9 
Caminho : 1 3 6 2 4 10 
Caminho : 1 3 6 2 5 9 
Caminho : 1 3 6 2 5 4 
Caminho : 1 3 6 2 5 8 
Caminho : 1 3 6 2 5 10 
Caminho : 1 3 6 2 5 4 
Caminho : 1 3 6 2 7 9 
Caminho : 1 3 6 2 7 8 
Caminho : 1 3 6 2 7 10 
Caminho : 1 3 6 2 7 4 
Caminho : 1 3 6 2 7 5 
Caminho : 1 3 6 2 7 8 
Caminho : 1 3 6 2 8 10 
Caminho : 1 3 6 2 9 4 
Caminho : 1 3 6 2 9 8 
Caminho : 1 3 6 2 9 10 
Caminho : 1 3 6 2 9 8 
Caminho : 1 3 6 2 4 10 
Caminho : 1 3 6 2 4 5 
Caminho : 1 3 6 2 4 8 
Caminho : 1 3 6 2 8 10 
Caminho : 1 3 6 2 8 4 
Caminho : 1 3 6 2 10 4 
Caminho : 1 3 6 2 10 5 
Caminho : 1 3 6 2 10 7 
Caminho : 1 3 6 4 9 10 
Caminho : 1 3 6 4 8 10 
Caminho : 1 3 6 5 9 4 
Caminho : 1 3 6 5 9 10 
Caminho : 1 3 6 5 9 2 
Caminho : 1 3 6 5 9 4 
Caminho : 1 3 6 5 9 8 
Caminho : 1 3 6 5 9 10 
Caminho : 1 3 6 5 4 10 
Caminho : 1 3 6 5 4 8 
Caminho : 1 3 6 5 10 4 
Caminho : 1 3 6 7 9 2 
Caminho : 1 3 6 7 9 4 
Caminho : 1 3 6 7 9 5 
Caminho : 1 3 6 7 9 10 
Caminho : 1 3 6 7 9 2 
Caminho : 1 3 6 7 9 8 
Caminho : 1 3 6 7 9 10 
Caminho : 1 3 6 7 2 4 
Caminho : 1 3 6 7 2 5 
Caminho : 1 3 6 7 2 10 
Caminho : 1 3 6 7 4 5 
Caminho : 1 3 6 7 4 10 
Caminho : 1 3 6 7 4 8 
Caminho : 1 3 6 7 4 10 
Caminho : 1 3 6 7 5 8 
Caminho : 1 3 6 7 5 10 
Caminho : 1 3 6 7 5 10 
Caminho : 1 3 6 7 8 10 
Caminho : 1 3 6 7 8 4 
Caminho : 1 3 6 7 10 2 
Caminho : 1 3 6 7 10 4 
Caminho : 1 3 6 7 10 5 
Caminho : 1 3 6 9 10 8 
Caminho : 1 3 6 9 2 4 
Caminho : 1 3 6 9 2 8 
Caminho : 1 3 6 9 2 4 
Caminho : 1 3 6 9 2 8 
Caminho : 1 3 6 9 2 10 
Caminho : 1 3 6 9 4 10 
Caminho : 1 3 6 9 4 5 
Caminho : 1 3 6 9 8 10 
Caminho : 1 3 6 9 8 4 
Caminho : 1 3 6 9 10 4 
Caminho : 1 3 6 9 10 5 
Caminho : 1 3 7 8 5 10 
Caminho : 1 3 7 8 5 2 
Caminho : 1 3 7 8 5 9 
Caminho : 1 3 7 8 10 9 
Caminho : 1 3 7 8 10 2 
Caminho : 1 3 7 8 2 10 
Caminho : 1 3 7 8 9 10 
Caminho : 1 3 7 4 9 10 
Caminho : 1 3 7 4 9 2 
Caminho : 1 3 7 4 5 9 
Caminho : 1 3 7 4 5 10 
Caminho : 1 3 7 4 9 10 
Caminho : 1 3 7 4 9 2 
Caminho : 1 3 7 4 10 2 
Caminho : 1 3 7 9 4 5 
Caminho : 1 3 7 9 4 10 
Caminho : 1 3 7 9 4 2 
Caminho : 1 3 7 9 5 2 
Caminho : 1 3 7 9 10 5 
Caminho : 1 3 7 9 2 10 
Caminho : 1 3 7 9 10 5 
Caminho : 1 3 7 2 4 5 
Caminho : 1 3 7 2 4 9 
Caminho : 1 3 7 2 4 10 
Caminho : 1 3 7 2 5 9 
Caminho : 1 3 7 2 5 10 
Caminho : 1 3 7 2 9 10 
Caminho : 1 3 7 2 10 5 
Caminho : 1 3 7 4 5 9 
Caminho : 1 3 7 4 5 10 
Caminho : 1 3 7 4 5 8 
Caminho : 1 3 7 4 5 9 
Caminho : 1 3 7 4 9 10 
Caminho : 1 3 7 4 9 10 
Caminho : 1 3 7 4 9 2 
Caminho : 1 3 7 4 9 10 
Caminho : 1 3 7 4 10 8 
Caminho : 1 3 7 4 10 2 
Caminho : 1 3 7 4 10 5 
Caminho : 1 3 7 4 8 2 
Caminho : 1 3 7 4 9 10 
Caminho : 1 3 7 4 10 5 
Caminho : 1 3 7 5 9 2 
Caminho : 1 3 7 5 9 8 
Caminho : 1 3 7 5 10 2 
Caminho : 1 3 7 8 10 2 
Caminho : 1 3 7 9 10 8 
Caminho : 1 3 7 9 10 5 
Caminho : 1 3 7 9 2 10 
Caminho : 1 3 7 9 10 5 
Caminho : 1 3 7 10 2 5 
Caminho : 1 3 7 10 2 8 
Caminho : 1 3 8 5 9 10 
Caminho : 1 3 8 5 2 4 
Caminho : 1 3 8 5 2 7 
Caminho : 1 3 8 5 2 9 
Caminho : 1 3 8 5 2 10 
Caminho : 1 3 8 5 4 9 
Caminho : 1 3 8 5 4 10 
Caminho : 1 3 8 5 9 10 
Caminho : 1 3 8 5 9 2 
Caminho : 1 3 8 5 7 10 
Caminho : 1 3 8 5 10 2 
Caminho : 1 3 8 7 2 5 
Caminho : 1 3 8 7 2 10 
Caminho : 1 3 8 7 9 5 
Caminho : 1 3 8 7 9 10 
Caminho : 1 3 8 7 9 10 
Caminho : 1 3 8 7 5 10 
Caminho : 1 3 8 7 10 2 
Caminho : 1 3 8 7 10 5 
Caminho : 1 3 8 9 4 2 
Caminho : 1 3 8 9 4 10 
Caminho : 1 3 8 9 4 5 
Caminho : 1 3 8 9 4 7 
Caminho : 1 3 8 9 2 7 
Caminho : 1 3 8 9 2 10 
Caminho : 1 3 8 9 7 5 
Caminho : 1 3 8 9 7 10 
Caminho : 1 3 8 2 4 7 
Caminho : 1 3 8 2 4 6 
Caminho : 1 3 8 2 4 9 
Caminho : 1 3 8 2 4 10 
Caminho : 1 3 8 2 4 5 
Caminho : 1 3 8 2 4 7 
Caminho : 1 3 8 2 7 9 
Caminho : 1 3 8 2 7 10 
Caminho : 1 3 8 2 7 5 
Caminho : 1 3 8 2 5 9 
Caminho : 1 3 8 2 6 10 
Caminho : 1 3 8 2 6 5 
Caminho : 1 3 8 2 6 7 
Caminho : 1 3 8 2 7 9 
Caminho : 1 3 8 2 7 10 
Caminho : 1 3 8 2 7 5 
Caminho : 1 3 8 2 9 10 
Caminho : 1 3 8 2 9 6 
Caminho : 1 3 8 2 9 7 
Caminho : 1 3 8 2 10 5 
Caminho : 1 3 8 2 10 7 
Caminho : 1 3 8 4 7 5 
Caminho : 1 3 8 4 7 10 
Caminho : 1 3 8 4 9 5 
Caminho : 1 3 8 4 9 7 
Caminho : 1 3 8 4 9 10 
Caminho : 1 3 8 4 9 2 
Caminho : 1 3 8 4 9 7 
Caminho : 1 3 8 4 9 10 
Caminho : 1 3 8 4 2 10 
Caminho : 1 3 8 4 5 10 
Caminho : 1 3 8 4 7 10 
Caminho : 1 3 8 4 7 5 
Caminho : 1 3 8 4 7 9 
Caminho : 1 3 8 4 7 10 
Caminho : 1 3 8 4 10 2 
Caminho : 1 3 8 4 10 5 
Caminho : 1 3 8 7 9 5 
Caminho : 1 3 8 7 9 10 
Caminho : 1 3 8 7 9 2 
Caminho : 1 3 8 7 9 10 
Caminho : 1 3 8 7 5 10 
Caminho : 1 3 8 7 5 10 
Caminho : 1 3 8 7 10 2 
Caminho : 1 3 8 7 10 5 
Caminho : 1 3 8 9 2 7 
Caminho : 1 3 8 9 2 5 
Caminho : 1 3 8 9 2 7 
Caminho : 1 3 8 9 2 10 
Caminho : 1 3 8 9 7 10 
Caminho : 1 3 8 9 7 4 
Caminho : 1 3 8 9 7 5 
Caminho : 1 3 8 9 7 10 
Caminho : 1 3 8 9 10 5 
Caminho : 1 3 10 4 9 8 
Caminho : 1 3 10 4 9 8 
Caminho : 1 3 2 4 5 8 
Caminho : 1 3 2 4 9 10 
Caminho : 1 3 2 4 9 7 
Caminho : 1 3 2 4 10 8 
Caminho : 1 3 2 4 10 7 
Caminho : 1 3 2 4 7 5 
Caminho : 1 3 2 4 9 10 
Caminho : 1 3 2 4 9 5 
Caminho : 1 3 2 4 10 5 
Caminho : 1 3 2 7 9 10 
Caminho : 1 3 2 7 9 4 
Caminho : 1 3 2 7 9 5 
Caminho : 1 3 2 7 10 4 
