RESULTADO AO FIM DE 1H
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(117, 267, 202)

Arvore 4
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 12 9 16 10
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(117, 265, 203)

Arvore 5
0 5 4 12 5
0 8 12 15 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
9 12 14 18 13
10 12 9 16 10
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(119, 263, 205)

Arvore 6
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(121, 260, 206)

Arvore 7
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 12 9 16 10
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(121, 258, 207)

Arvore 8
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 11 1 10 6
6 20 11 16 15
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(116, 271, 207)

Arvore 9
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 11 1 10 6
6 20 11 16 15
10 12 9 16 10
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(116, 269, 208)

Arvore 10
0 5 4 12 5
0 8 12 15 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
9 12 14 18 13
10 12 9 16 10
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(123, 256, 209)

Arvore 11
0 5 4 12 5
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(112, 260, 209)

Arvore 12
0 5 4 12 5
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 12 9 16 10
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(112, 258, 210)

Arvore 13
0 5 4 12 5
0 8 12 15 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 6 18 19 16
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
9 12 14 18 13
10 12 9 16 10
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(134, 255, 212)

Arvore 14
0 5 4 12 5
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
9 12 14 18 13
10 12 9 16 10
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(114, 256, 212)

Arvore 15
0 5 4 12 5
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(116, 253, 213)

Arvore 16
0 5 4 12 5
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 12 9 16 10
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(116, 251, 214)

Arvore 17
0 5 4 12 5
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 11 1 10 6
6 20 11 16 15
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(111, 264, 214)

RESULTADO AO FIM DE 3H
TEMPO LIMITE ATINGIDO...
Arvore 1
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 12 5 11 10
6 17 2 6 1
6 20 11 16 15
8 14 13 23 11
10 16 8 10 12
10 19 20 29 17
11 17 0 3 1
13 17 6 17 10
17 21 9 8 22
(133, 282, 200)

Arvore 2
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 12 5 11 10
6 17 2 6 1
6 20 11 16 15
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
13 17 6 17 10
17 21 9 8 22
(122, 274, 201)

Arvore 3
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(117, 267, 202)

Arvore 4
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 12 9 16 10
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(117, 265, 203)

Arvore 5
0 5 4 12 5
0 8 12 15 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
9 12 14 18 13
10 12 9 16 10
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(119, 263, 205)

Arvore 6
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(121, 260, 206)

Arvore 7
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 12 9 16 10
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(121, 258, 207)

Arvore 8
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 11 1 10 6
6 20 11 16 15
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(116, 271, 207)

Arvore 9
0 5 4 12 5
0 8 12 15 11
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 11 1 10 6
6 20 11 16 15
10 12 9 16 10
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(116, 269, 208)

Arvore 10
0 5 4 12 5
0 8 12 15 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
9 12 14 18 13
10 12 9 16 10
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(123, 256, 209)

Arvore 11
0 5 4 12 5
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(112, 260, 209)

Arvore 12
0 5 4 12 5
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 12 9 16 10
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(112, 258, 210)

Arvore 13
0 5 4 12 5
0 8 12 15 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 6 18 19 16
3 7 0 10 11
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
9 12 14 18 13
10 12 9 16 10
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(134, 255, 212)

Arvore 14
0 5 4 12 5
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
9 12 14 18 13
10 12 9 16 10
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(114, 256, 212)

Arvore 15
0 5 4 12 5
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(116, 253, 213)

Arvore 16
0 5 4 12 5
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
10 12 9 16 10
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(116, 251, 214)

Arvore 17
0 5 4 12 5
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
1 17 9 18 9
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 11 1 10 6
6 20 11 16 15
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(111, 264, 214)

Arvore 18
0 5 4 12 5
0 9 12 20 11
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 11 1 10 6
6 20 11 16 15
10 12 9 16 10
10 16 8 10 12
10 19 20 29 17
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
(111, 262, 215)

Arvore 19
0 5 4 12 5
0 11 1 6 2
0 15 0 11 9
1 3 4 5 7
1 10 1 10 3
2 10 7 20 13
3 7 0 10 11
4 8 7 8 18
4 12 1 16 6
5 18 8 16 14
6 17 2 6 1
6 20 11 16 15
9 12 14 18 13
10 12 9 16 10
10 16 8 10 12
11 14 2 15 12
11 17 0 3 1
12 17 0 4 11
13 17 6 17 10
17 21 9 8 22
19 20 24 22 21
(118, 249, 216)

